GEO_ID,NAME,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
id,Geographic Area Name,Total,Total!!Not Hispanic or Latino,Total!!Not Hispanic or Latino!!White alone,Total!!Not Hispanic or Latino!!Black or African American alone,Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Not Hispanic or Latino!!Asian alone,Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Not Hispanic or Latino!!Some Other Race alone,Total!!Not Hispanic or Latino!!Two or More Races,Total!!Hispanic or Latino,Total!!Hispanic or Latino!!White alone,Total!!Hispanic or Latino!!Black or African American alone,Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Hispanic or Latino!!Asian alone,Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Hispanic or Latino!!Some Other Race alone,Total!!Hispanic or Latino!!Two or More Races
1400000US48423001700,"Census Tract 17, Smith County, Texas",8493,4648,3256,1243,35,14,2,10,88,3845,1851,40,55,6,4,1796,93
1400000US48113007101,"Census Tract 71.01, Dallas County, Texas",1854,1770,1641,43,8,55,1,3,19,84,60,0,0,0,0,22,2
1400000US48201454302,"Census Tract 4543.02, Harris County, Texas",6490,3920,1405,1453,23,917,0,11,111,2570,1621,46,37,5,0,715,146
1400000US48439111015,"Census Tract 1110.15, Tarrant County, Texas",2385,2018,1771,162,18,21,2,4,40,367,244,4,0,0,0,101,18
1400000US48141002400,"Census Tract 24, El Paso County, Texas",3614,321,283,18,4,2,1,2,11,3293,2798,6,15,3,0,394,77
1400000US48221160207,"Census Tract 1602.07, Hood County, Texas",6363,5748,5587,24,48,29,6,4,50,615,291,4,15,0,1,277,27
1400000US48027023105,"Census Tract 231.05, Bell County, Texas",8805,6783,2932,2968,58,307,92,16,410,2022,789,168,14,24,5,781,241
1400000US48201233103,"Census Tract 2331.03, Harris County, Texas",5164,787,618,117,8,11,0,8,25,4377,2557,6,52,4,0,1564,194
1400000US48085031624,"Census Tract 316.24, Collin County, Texas",3659,2446,1633,304,11,421,0,4,73,1213,445,8,7,0,0,706,47
1400000US48439113104,"Census Tract 1131.04, Tarrant County, Texas",3319,2801,1584,857,10,220,2,17,111,518,266,18,4,4,0,186,40
1400000US48453002402,"Census Tract 24.02, Travis County, Texas",7082,3502,2859,328,26,161,2,16,110,3580,1789,28,67,13,1,1544,138
1400000US48039661300,"Census Tract 6613, Brazoria County, Texas",2676,1297,1194,62,15,7,0,1,18,1379,862,7,0,0,1,446,63
1400000US48201251901,"Census Tract 2519.01, Harris County, Texas",9353,7961,7237,478,45,39,1,17,144,1392,847,5,23,2,0,417,98
1400000US48201232401,"Census Tract 2324.01, Harris County, Texas",7415,3458,1363,1640,11,363,1,12,68,3957,2396,44,96,11,0,1197,213
1400000US48027022402,"Census Tract 224.02, Bell County, Texas",4402,3457,1474,1578,17,157,23,14,194,945,429,113,19,12,1,280,91
1400000US48027021301,"Census Tract 213.01, Bell County, Texas",4796,4127,3446,447,17,155,4,1,57,669,414,15,6,7,1,177,49
1400000US48369950200,"Census Tract 9502, Parmer County, Texas",4968,1727,1636,45,13,9,7,0,17,3241,1980,13,38,4,13,1084,109
1400000US48303010102,"Census Tract 101.02, Lubbock County, Texas",2476,1345,1291,31,0,1,1,2,19,1131,847,3,2,0,0,242,37
1400000US48113016406,"Census Tract 164.06, Dallas County, Texas",4857,2166,1211,593,38,239,4,7,74,2691,1475,45,24,3,2,1033,109
